song_id,entry_date,exit_date,total_days,peak_rank,avg_rank,peak_date,days_to_peak,artist,album_type,is_explicit,duration_ms,total_tracks,popularity,lifecycle_type
"BESAME (feat. Tiago PZK, Khea & Neo Pistea) - Remix-Bhavi & Seven Kayne & Milo j",2025-04-24,2025-05-06,11,28,42.54545454545455,2025-04-26,2,Bhavi & Seven Kayne & Milo j,single,True,284308,1,80,Medium Run
BESO-ROSALÍA & Rauw Alejandro,2024-05-18,2024-10-06,142,4,21.929577464788732,2024-05-18,0,ROSALÍA & Rauw Alejandro,single,False,194543,3,96,Long Runner
BESOS (with Kidd Keo & Neelo)-SwaggGlock & Kidd Keo & Neelo,2024-09-14,2024-10-13,30,22,32.0,2024-09-19,5,SwaggGlock & Kidd Keo & Neelo,single,True,172852,1,72,Medium Run
BIRDS OF A FEATHER-Billie Eilish,2025-06-12,2025-06-13,2,49,49.0,2025-06-12,0,Billie Eilish,album,False,210373,10,92,Short Hit
BOREAL-SAIKO,2025-04-28,2025-05-01,4,22,35.5,2025-04-28,0,SAIKO,album,False,165210,16,59,Short Hit
BUBALU-Feid,2024-09-30,2024-10-06,7,26,36.285714285714285,2024-09-30,0,Feid,album,False,228253,15,0,Short Hit
BUBALU-Feid & Rema,2024-09-24,2024-09-29,6,21,30.666666666666668,2024-09-25,1,Feid & Rema,single,False,228253,1,0,Short Hit
BUENAS NOCHES-Quevedo,2025-11-24,2025-11-27,4,18,25.25,2025-11-24,0,Quevedo,album,False,238883,18,60,Short Hit
Bailando Bachata-Chayanne,2025-05-13,2025-06-02,9,45,48.111111111111114,2025-06-01,19,Chayanne,album,False,170809,9,77,Short Hit
Baja Pa' Acá-Rauw Alejandro,2025-11-17,2025-11-20,4,22,40.0,2025-11-17,0,Rauw Alejandro,album,True,200000,18,66,Short Hit
Bandidona-Saiko,2024-10-29,2024-11-10,13,20,32.23076923076923,2024-10-29,0,Saiko,single,False,160941,1,39,Medium Run
Barro-Duki,2025-10-20,2025-10-20,1,40,40.0,2025-10-20,0,Duki,single,False,201052,1,60,Short Hit
Beautiful Things-Benson Boone,2025-03-13,2025-06-23,91,17,39.07692307692308,2025-04-04,22,Benson Boone,single,False,180304,1,100,Long Runner
Bendecido-Eladio Carrion,2025-01-21,2025-01-26,6,7,23.0,2025-01-21,0,Eladio Carrion,album,True,142736,17,71,Short Hit
Besitos BB 2.0-El Perla & Omar Montes & SAIKO,2025-10-16,2025-10-31,11,9,28.09090909090909,2025-10-16,0,El Perla & Omar Montes & SAIKO,single,True,233693,1,61,Medium Run
Beso Prohibido-Beny Jr,2025-09-07,2025-09-07,1,49,49.0,2025-09-07,0,Beny Jr,album,False,152866,14,64,Short Hit
Brindis-Duki,2025-11-03,2025-11-07,3,30,40.333333333333336,2025-11-03,0,Duki,album,True,180750,15,62,Short Hit
Buenas-Quevedo & SAIKO,2025-03-02,2025-03-12,11,39,44.54545454545455,2025-03-02,0,Quevedo & SAIKO,single,False,192954,1,80,Medium Run
Buenas-Quevedo & Saiko,2024-09-24,2025-02-28,158,1,18.481012658227847,2024-09-24,0,Quevedo & Saiko,single,False,192954,1,53,Evergreen
Buscando Money-TWENTY SIX & Tayson Kryss,2025-02-02,2025-04-17,73,4,24.08219178082192,2025-02-15,13,TWENTY SIX & Tayson Kryss,single,False,150000,2,75,Long Runner
Buscarte Lejos-Duki,2025-11-03,2025-11-09,7,28,37.57142857142857,2025-11-06,3,Duki,album,False,194447,15,62,Short Hit
CACHÉ-Myke Towers,2025-08-24,2025-08-24,1,47,47.0,2025-08-24,0,Myke Towers,album,True,196906,20,0,Short Hit
CALL ME MAYBE-Duki,2024-12-10,2024-12-10,1,50,50.0,2024-12-10,0,Duki,single,False,222401,1,65,Short Hit
CARITA TRISTE-Ana Mena & Emilia,2025-09-01,2025-11-23,84,9,30.011904761904763,2025-09-07,6,Ana Mena & Emilia,single,False,175296,1,60,Long Runner
CARTERA & TACOS-Myke Towers,2024-11-25,2024-11-25,1,47,47.0,2024-11-25,0,Myke Towers,album,True,129932,23,0,Short Hit
CHAPIADORA.COM-Quevedo,2025-11-24,2025-11-27,4,8,14.0,2025-11-24,0,Quevedo,album,False,197418,18,63,Short Hit
